tSNE_1,tSNE_2,KMeans_Profile,Customer_Profile
15.9061575,20.39862,0,5
87.62312,-12.831983,2,2
80.68049,-2.9319232,2,2
40.846416,-27.557535,3,2
41.67996,-6.7413945,3,2
57.674873,-9.250391,2,2
52.11817,7.0698013,2,2
61.93298,-6.421066,2,2
52.214207,-20.27709,2,2
-53.574917,-35.065796,0,4
-10.6539345,14.355706,1,1
11.574077,-14.41308,3,3
-28.631678,-18.50705,0,4
74.824425,-17.775755,2,2
-15.280753,21.041407,1,5
25.546553,-16.12055,3,3
-1.1529325,52.992825,1,1
84.521194,-8.750095,2,2
25.919632,7.399912,3,3
-21.746696,-34.19265,0,5
9.353011,66.11195,1,5
-6.78775,-24.677708,3,3
1.8050139,39.294395,1,5
-27.623928,-25.526968,0,4
31.751549,-21.73896,3,2
-39.246616,-21.969854,0,4
-1.1547774,59.317043,1,1
-20.981293,51.67249,1,1
-34.0717,-50.872597,0,4
-45.685307,23.73155,1,1
-28.982021,-5.4365683,0,4
-12.247405,26.136091,1,5
44.70857,-20.967184,2,2
13.230364,20.077932,1,5
54.994434,-0.43593964,2,2
-39.92828,-18.17275,0,4
49.508095,-17.096922,2,2
-45.03954,-24.087814,0,4
84.67233,-15.663102,2,2
-42.780815,-40.009205,0,4
4.131634,-36.12827,3,3
24.72513,10.038276,1,3
-51.314262,33.10414,1,5
-30.161165,46.457615,1,1
-20.580954,37.643105,1,1
-22.376003,60.656467,1,1
-19.349316,-37.29232,0,4
-2.1580813,-34.347385,0,3
-36.00076,-20.47189,0,4
0.6256267,39.474373,1,5
-35.46928,0.92469454,0,1
-26.566072,-3.7746832,0,5
20.076809,51.90503,1,5
13.429561,48.717903,1,5
70.917244,-22.39279,2,2
-7.2192225,30.348429,1,5
-30.448698,21.063025,1,1
-4.538455,-21.10912,0,4
52.223877,-8.9916525,2,2
-37.378345,-43.846397,0,4
43.71683,-14.227801,3,2
84.69682,-12.744369,2,2
1.7941581,35.649963,1,5
-8.317534,33.75992,1,5
-1.9556057,-40.564137,3,3
-16.833899,58.060715,1,1
41.665977,-30.24352,3,2
-8.47555,63.226913,1,1
21.514353,4.795061,3,3
